 time, vibration, pressure, z_tilt
 14:47:59 2022/6/3,0,862,544
 14:48:0 2022/6/3,0,861,704
 14:48:0 2022/6/3,0,857,684
 14:48:1 2022/6/3,1,822,780
 14:48:1 2022/6/3,0,853,884
 14:48:2 2022/6/3,0,852,752
 14:48:2 2022/6/3,0,851,792
 14:48:3 2022/6/3,0,853,816
 14:48:3 2022/6/3,1,851,616
 14:48:4 2022/6/3,0,852,792
 14:48:4 2022/6/3,0,847,568
 14:48:5 2022/6/3,1,852,828
 14:48:5 2022/6/3,0,850,564
 14:48:6 2022/6/3,1,844,644
 14:48:6 2022/6/3,1,849,752
 14:48:7 2022/6/3,0,848,640
 14:48:7 2022/6/3,0,851,416
 14:48:8 2022/6/3,0,853,480
 14:48:8 2022/6/3,0,856,284
 14:48:9 2022/6/3,1,861,140
 14:48:9 2022/6/3,0,861,788
 14:48:10 2022/6/3,0,863,-100
 14:48:10 2022/6/3,1,850,188
 14:48:11 2022/6/3,1,842,8908
 14:48:11 2022/6/3,1023,843,12252
 14:48:12 2022/6/3,1023,871,-2152
 14:48:12 2022/6/3,1023,909,-8276
 14:48:13 2022/6/3,85,881,624
 14:48:13 2022/6/3,0,876,864
 14:48:14 2022/6/3,32,874,1228
 14:48:14 2022/6/3,1,872,1472
 14:48:15 2022/6/3,0,864,872
 14:48:15 2022/6/3,1,870,724
 14:48:16 2022/6/3,1,868,468
 14:48:16 2022/6/3,1,867,500
 14:48:17 2022/6/3,1,869,716
 14:48:17 2022/6/3,1,869,380
 14:48:18 2022/6/3,1,883,836
 14:48:18 2022/6/3,1,885,664
 14:48:19 2022/6/3,1,881,732
 14:48:19 2022/6/3,1,878,764
 14:48:20 2022/6/3,1,879,468
 14:48:20 2022/6/3,0,881,340
 14:48:21 2022/6/3,1,887,460
 14:48:21 2022/6/3,1,883,588
 14:48:22 2022/6/3,1,883,532
 14:48:22 2022/6/3,1,886,748
 14:48:23 2022/6/3,1,883,692
 14:48:23 2022/6/3,1,878,800
 14:48:24 2022/6/3,1,881,812
 14:48:24 2022/6/3,0,881,652
 14:48:25 2022/6/3,1,880,740
 14:48:25 2022/6/3,1,882,760
 14:48:26 2022/6/3,1,883,1184
 14:48:26 2022/6/3,1,879,584
 14:48:27 2022/6/3,0,880,716
 14:48:27 2022/6/3,1,878,792
 14:48:28 2022/6/3,1,884,1088
 14:48:28 2022/6/3,1,880,720
 14:48:29 2022/6/3,1,880,948
 14:48:29 2022/6/3,1,880,1032
 14:48:30 2022/6/3,1,877,676
 14:48:30 2022/6/3,1,879,140
 14:48:31 2022/6/3,679,880,-12
 14:48:31 2022/6/3,1023,880,-64
 14:48:32 2022/6/3,18,881,232
 14:48:32 2022/6/3,0,879,132
 14:48:33 2022/6/3,0,880,-456
 14:48:33 2022/6/3,0,882,-8
 14:48:34 2022/6/3,0,881,260
 14:48:34 2022/6/3,1,880,-40
 14:48:35 2022/6/3,0,882,16
 14:48:35 2022/6/3,0,883,552
 14:48:36 2022/6/3,1,881,792
 14:48:36 2022/6/3,0,864,1048
 14:48:37 2022/6/3,0,861,888
 14:48:37 2022/6/3,0,859,876
 14:48:38 2022/6/3,0,854,1064
 14:48:38 2022/6/3,1,859,1072
 14:48:39 2022/6/3,1023,859,808
 14:48:39 2022/6/3,1,857,960
 14:48:40 2022/6/3,1,853,1200
 14:48:40 2022/6/3,1,853,680
 14:48:41 2022/6/3,0,854,952
 14:48:41 2022/6/3,0,855,1088
 14:48:42 2022/6/3,0,856,1140
 14:48:42 2022/6/3,0,855,1476
 14:48:43 2022/6/3,0,839,1468
 14:48:43 2022/6/3,0,861,1704
 14:48:44 2022/6/3,1,867,2140
 14:48:44 2022/6/3,0,866,2264
 14:48:45 2022/6/3,1,872,2972
 14:48:45 2022/6/3,0,869,3552
 14:48:46 2022/6/3,0,868,3416
 14:48:46 2022/6/3,0,860,2872
 14:48:47 2022/6/3,1023,859,2512
 14:48:48 2022/6/3,1023,861,1984
 14:48:48 2022/6/3,1023,858,2384
 14:48:49 2022/6/3,1023,857,2220
 14:48:49 2022/6/3,1,854,2596
 14:48:50 2022/6/3,1,855,2148
 14:48:50 2022/6/3,1,852,2328
 14:48:51 2022/6/3,2,856,2252
 14:48:51 2022/6/3,2,853,2420
 14:48:52 2022/6/3,4,855,2520
 14:48:52 2022/6/3,3,851,2392
 14:48:53 2022/6/3,3,846,2372
 14:48:53 2022/6/3,3,845,1956
 14:48:54 2022/6/3,2,837,3220
 14:48:54 2022/6/3,4,836,3568
 14:48:55 2022/6/3,3,839,3444
